ID,n,a_n,Mode,Overflowed,Stop Reason
C1,0,1,Symbolic,False,completed
C1,1,2,Symbolic,False,completed
C1,2,4,Symbolic,False,completed
C1,3,8,Symbolic,False,completed
C1,4,16,Symbolic,False,completed
C1,5,32,Symbolic,False,completed
C1,6,64,Symbolic,False,completed
C1,7,128,Symbolic,False,completed
C1,8,256,Symbolic,False,completed
C1,9,512,Symbolic,False,completed
C1,10,1024,Symbolic,False,completed
C1,11,2048,Symbolic,False,completed
C1,12,4096,Symbolic,False,completed
C1,13,8192,Symbolic,False,completed
C1,14,16384,Symbolic,False,completed
C1,15,32768,Symbolic,False,completed
C1,16,65536,Symbolic,False,completed
C1,17,131072,Symbolic,False,completed
C1,18,262144,Symbolic,False,completed
C1,19,524288,Symbolic,False,completed
C1,20,1048576,Symbolic,False,completed
C1,21,2097152,Symbolic,False,completed
C1,22,4194304,Symbolic,False,completed
C1,23,8388608,Symbolic,False,completed
C1,24,16777216,Symbolic,False,completed
C1,25,33554432,Symbolic,False,completed
C1,26,67108864,Symbolic,False,completed
C1,27,134217728,Symbolic,False,completed
C1,28,268435456,Symbolic,False,completed
C1,29,536870912,Symbolic,False,completed
C1,30,1073741824,Symbolic,False,completed
C1,31,2147483648,Symbolic,False,completed
C1,32,4294967296,Symbolic,False,completed
C1,33,8589934592,Symbolic,False,completed
C1,34,17179869184,Symbolic,False,completed
C1,35,34359738368,Symbolic,False,completed
C1,36,68719476736,Symbolic,False,completed
C1,37,137438953472,Symbolic,False,completed
C1,38,274877906944,Symbolic,False,completed
C1,39,549755813888,Symbolic,False,completed
C1,40,1099511627776,Symbolic,False,completed
C1,41,2199023255552,Symbolic,False,completed
C1,42,4398046511104,Symbolic,False,completed
C1,43,8796093022208,Symbolic,False,completed
C1,44,17592186044416,Symbolic,False,completed
C1,45,35184372088832,Symbolic,False,completed
C1,46,70368744177664,Symbolic,False,completed
C1,47,140737488355328,Symbolic,False,completed
C1,48,281474976710656,Symbolic,False,completed
C1,49,562949953421312,Symbolic,False,completed
C2,0,1,Symbolic,False,completed
C2,1,5,Symbolic,False,completed
C2,2,13,Symbolic,False,completed
C2,3,29,Symbolic,False,completed
C2,4,61,Symbolic,False,completed
C2,5,125,Symbolic,False,completed
C2,6,253,Symbolic,False,completed
C2,7,509,Symbolic,False,completed
C2,8,1021,Symbolic,False,completed
C2,9,2045,Symbolic,False,completed
C2,10,4093,Symbolic,False,completed
C2,11,8189,Symbolic,False,completed
C2,12,16381,Symbolic,False,completed
C2,13,32765,Symbolic,False,completed
C2,14,65533,Symbolic,False,completed
C2,15,131069,Symbolic,False,completed
C2,16,262141,Symbolic,False,completed
C2,17,524285,Symbolic,False,completed
C2,18,1048573,Symbolic,False,completed
C2,19,2097149,Symbolic,False,completed
C2,20,4194301,Symbolic,False,completed
C2,21,8388605,Symbolic,False,completed
C2,22,16777213,Symbolic,False,completed
C2,23,33554429,Symbolic,False,completed
C2,24,67108861,Symbolic,False,completed
C2,25,134217725,Symbolic,False,completed
C2,26,268435453,Symbolic,False,completed
C2,27,536870909,Symbolic,False,completed
C2,28,1073741821,Symbolic,False,completed
C2,29,2147483645,Symbolic,False,completed
C2,30,4294967293,Symbolic,False,completed
C2,31,8589934589,Symbolic,False,completed
C2,32,17179869181,Symbolic,False,completed
C2,33,34359738365,Symbolic,False,completed
C2,34,68719476733,Symbolic,False,completed
C2,35,137438953469,Symbolic,False,completed
C2,36,274877906941,Symbolic,False,completed
C2,37,549755813885,Symbolic,False,completed
C2,38,1099511627773,Symbolic,False,completed
C2,39,2199023255549,Symbolic,False,completed
C2,40,4398046511101,Symbolic,False,completed
C2,41,8796093022205,Symbolic,False,completed
C2,42,17592186044413,Symbolic,False,completed
C2,43,35184372088829,Symbolic,False,completed
C2,44,70368744177661,Symbolic,False,completed
C2,45,140737488355325,Symbolic,False,completed
C2,46,281474976710653,Symbolic,False,completed
C2,47,562949953421309,Symbolic,False,completed
C2,48,1125899906842621,Symbolic,False,completed
C2,49,2251799813685245,Symbolic,False,completed
C3,0,2,Symbolic,False,completed
C3,1,7,Symbolic,False,completed
C3,2,12,Symbolic,False,completed
C3,3,17,Symbolic,False,completed
C3,4,22,Symbolic,False,completed
C3,5,27,Symbolic,False,completed
C3,6,32,Symbolic,False,completed
C3,7,37,Symbolic,False,completed
C3,8,42,Symbolic,False,completed
C3,9,47,Symbolic,False,completed
C3,10,52,Symbolic,False,completed
C3,11,57,Symbolic,False,completed
C3,12,62,Symbolic,False,completed
C3,13,67,Symbolic,False,completed
C3,14,72,Symbolic,False,completed
C3,15,77,Symbolic,False,completed
C3,16,82,Symbolic,False,completed
C3,17,87,Symbolic,False,completed
C3,18,92,Symbolic,False,completed
C3,19,97,Symbolic,False,completed
C3,20,102,Symbolic,False,completed
C3,21,107,Symbolic,False,completed
C3,22,112,Symbolic,False,completed
C3,23,117,Symbolic,False,completed
C3,24,122,Symbolic,False,completed
C3,25,127,Symbolic,False,completed
C3,26,132,Symbolic,False,completed
C3,27,137,Symbolic,False,completed
C3,28,142,Symbolic,False,completed
C3,29,147,Symbolic,False,completed
C3,30,152,Symbolic,False,completed
C3,31,157,Symbolic,False,completed
C3,32,162,Symbolic,False,completed
C3,33,167,Symbolic,False,completed
C3,34,172,Symbolic,False,completed
C3,35,177,Symbolic,False,completed
C3,36,182,Symbolic,False,completed
C3,37,187,Symbolic,False,completed
C3,38,192,Symbolic,False,completed
C3,39,197,Symbolic,False,completed
C3,40,202,Symbolic,False,completed
C3,41,207,Symbolic,False,completed
C3,42,212,Symbolic,False,completed
C3,43,217,Symbolic,False,completed
C3,44,222,Symbolic,False,completed
C3,45,227,Symbolic,False,completed
C3,46,232,Symbolic,False,completed
C3,47,237,Symbolic,False,completed
C3,48,242,Symbolic,False,completed
C3,49,247,Symbolic,False,completed
C4,0,1,Symbolic,False,completed
C4,1,3,Symbolic,False,completed
C4,2,8,Symbolic,False,completed
C4,3,19,Symbolic,False,completed
C4,4,42,Symbolic,False,completed
C4,5,89,Symbolic,False,completed
C4,6,184,Symbolic,False,completed
C4,7,375,Symbolic,False,completed
C4,8,758,Symbolic,False,completed
C4,9,1525,Symbolic,False,completed
C4,10,3060,Symbolic,False,completed
C4,11,6131,Symbolic,False,completed
C4,12,12274,Symbolic,False,completed
C4,13,24561,Symbolic,False,completed
C4,14,49136,Symbolic,False,completed
C4,15,98287,Symbolic,False,completed
C4,16,196590,Symbolic,False,completed
C4,17,393197,Symbolic,False,completed
C4,18,786412,Symbolic,False,completed
C4,19,1572843,Symbolic,False,completed
C4,20,3145706,Symbolic,False,completed
C4,21,6291433,Symbolic,False,completed
C4,22,12582888,Symbolic,False,completed
C4,23,25165799,Symbolic,False,completed
C4,24,50331622,Symbolic,False,completed
C4,25,100663269,Symbolic,False,completed
C4,26,201326564,Symbolic,False,completed
C4,27,402653155,Symbolic,False,completed
C4,28,805306338,Symbolic,False,completed
C4,29,1610612705,Symbolic,False,completed
C4,30,3221225440,Symbolic,False,completed
C4,31,6442450911,Symbolic,False,completed
C4,32,12884901854,Symbolic,False,completed
C4,33,25769803741,Symbolic,False,completed
C4,34,51539607516,Symbolic,False,completed
C4,35,103079215067,Symbolic,False,completed
C4,36,206158430170,Symbolic,False,completed
C4,37,412316860377,Symbolic,False,completed
C4,38,824633720792,Symbolic,False,completed
C4,39,1649267441623,Symbolic,False,completed
C4,40,3298534883286,Symbolic,False,completed
C4,41,6597069766613,Symbolic,False,completed
C4,42,13194139533268,Symbolic,False,completed
C4,43,26388279066579,Symbolic,False,completed
C4,44,52776558133202,Symbolic,False,completed
C4,45,105553116266449,Symbolic,False,completed
C4,46,211106232532944,Symbolic,False,completed
C4,47,422212465065935,Symbolic,False,completed
C4,48,844424930131918,Symbolic,False,completed
C4,49,1688849860263885,Symbolic,False,completed
C5,0,0,Symbolic,False,completed
C5,1,1,Symbolic,False,completed
C5,2,1,Symbolic,False,completed
C5,3,2,Symbolic,False,completed
C5,4,3,Symbolic,False,completed
C5,5,5,Symbolic,False,completed
C5,6,8,Symbolic,False,completed
C5,7,13,Symbolic,False,completed
C5,8,21,Symbolic,False,completed
C5,9,34,Symbolic,False,completed
C5,10,55,Symbolic,False,completed
C5,11,89,Symbolic,False,completed
C5,12,144,Symbolic,False,completed
C5,13,233,Symbolic,False,completed
C5,14,377,Symbolic,False,completed
C5,15,610,Symbolic,False,completed
C5,16,987,Symbolic,False,completed
C5,17,1597,Symbolic,False,completed
C5,18,2584,Symbolic,False,completed
C5,19,4181,Symbolic,False,completed
C5,20,6765,Symbolic,False,completed
C5,21,10946,Symbolic,False,completed
C5,22,17711,Symbolic,False,completed
C5,23,28657,Symbolic,False,completed
C5,24,46368,Symbolic,False,completed
C5,25,75025,Symbolic,False,completed
C5,26,121393,Symbolic,False,completed
C5,27,196418,Symbolic,False,completed
C5,28,317811,Symbolic,False,completed
C5,29,514229,Symbolic,False,completed
C5,30,832040,Symbolic,False,completed
C5,31,1346269,Symbolic,False,completed
C5,32,2178309,Symbolic,False,completed
C5,33,3524578,Symbolic,False,completed
C5,34,5702887,Symbolic,False,completed
C5,35,9227465,Symbolic,False,completed
C5,36,14930352,Symbolic,False,completed
C5,37,24157817,Symbolic,False,completed
C5,38,39088169,Symbolic,False,completed
C5,39,63245986,Symbolic,False,completed
C5,40,102334155,Symbolic,False,completed
C5,41,165580141,Symbolic,False,completed
C5,42,267914296,Symbolic,False,completed
C5,43,433494437,Symbolic,False,completed
C5,44,701408733,Symbolic,False,completed
C5,45,1134903170,Symbolic,False,completed
C5,46,1836311903,Symbolic,False,completed
C5,47,2971215073,Symbolic,False,completed
C5,48,4807526976,Symbolic,False,completed
C5,49,7778742049,Symbolic,False,completed
C6,0,1,Symbolic,False,completed
C6,1,2,Symbolic,False,completed
C6,2,4,Symbolic,False,completed
C6,3,8,Symbolic,False,completed
C6,4,16,Symbolic,False,completed
C6,5,32,Symbolic,False,completed
C6,6,64,Symbolic,False,completed
C6,7,128,Symbolic,False,completed
C6,8,256,Symbolic,False,completed
C6,9,512,Symbolic,False,completed
C6,10,1024,Symbolic,False,completed
C6,11,2048,Symbolic,False,completed
C6,12,4096,Symbolic,False,completed
C6,13,8192,Symbolic,False,completed
C6,14,16384,Symbolic,False,completed
C6,15,32768,Symbolic,False,completed
C6,16,65536,Symbolic,False,completed
C6,17,131072,Symbolic,False,completed
C6,18,262144,Symbolic,False,completed
C6,19,524288,Symbolic,False,completed
C6,20,1048576,Symbolic,False,completed
C6,21,2097152,Symbolic,False,completed
C6,22,4194304,Symbolic,False,completed
C6,23,8388608,Symbolic,False,completed
C6,24,16777216,Symbolic,False,completed
C6,25,33554432,Symbolic,False,completed
C6,26,67108864,Symbolic,False,completed
C6,27,134217728,Symbolic,False,completed
C6,28,268435456,Symbolic,False,completed
C6,29,536870912,Symbolic,False,completed
C6,30,1073741824,Symbolic,False,completed
C6,31,2147483648,Symbolic,False,completed
C6,32,4294967296,Symbolic,False,completed
C6,33,8589934592,Symbolic,False,completed
C6,34,17179869184,Symbolic,False,completed
C6,35,34359738368,Symbolic,False,completed
C6,36,68719476736,Symbolic,False,completed
C6,37,137438953472,Symbolic,False,completed
C6,38,274877906944,Symbolic,False,completed
C6,39,549755813888,Symbolic,False,completed
C6,40,1099511627776,Symbolic,False,completed
C6,41,2199023255552,Symbolic,False,completed
C6,42,4398046511104,Symbolic,False,completed
C6,43,8796093022208,Symbolic,False,completed
C6,44,17592186044416,Symbolic,False,completed
C6,45,35184372088832,Symbolic,False,completed
C6,46,70368744177664,Symbolic,False,completed
C6,47,140737488355328,Symbolic,False,completed
C6,48,281474976710656,Symbolic,False,completed
C6,49,562949953421312,Symbolic,False,completed
C7,0,3,Symbolic,False,completed
C7,1,6,Symbolic,False,completed
C7,2,14,Symbolic,False,completed
C7,3,36,Symbolic,False,completed
C7,4,98,Symbolic,False,completed
C7,5,276,Symbolic,False,completed
C7,6,794,Symbolic,False,completed
C7,7,2316,Symbolic,False,completed
C7,8,6818,Symbolic,False,completed
C7,9,20196,Symbolic,False,completed
C7,10,60074,Symbolic,False,completed
C7,11,179196,Symbolic,False,completed
C7,12,535538,Symbolic,False,completed
C7,13,1602516,Symbolic,False,completed
C7,14,4799354,Symbolic,False,completed
C7,15,14381676,Symbolic,False,completed
C7,16,43112258,Symbolic,False,completed
C7,17,129271236,Symbolic,False,completed
C7,18,387682634,Symbolic,False,completed
C7,19,1162785756,Symbolic,False,completed
C7,20,3487832978,Symbolic,False,completed
C7,21,10462450356,Symbolic,False,completed
C7,22,31385253914,Symbolic,False,completed
C7,23,94151567436,Symbolic,False,completed
C7,24,282446313698,Symbolic,False,completed
C7,25,847322163876,Symbolic,False,completed
C7,26,2541932937194,Symbolic,False,completed
C7,27,7625731702716,Symbolic,False,completed
C7,28,22877060890418,Symbolic,False,completed
C7,29,68630914235796,Symbolic,False,completed
C7,30,205892205836474,Symbolic,False,completed
C7,31,617675543767596,Symbolic,False,completed
C7,32,1853024483819138,Symbolic,False,completed
C7,33,5559069156490116,Symbolic,False,completed
C7,34,16677198879535754,Symbolic,False,completed
C7,35,50031579458738076,Symbolic,False,completed
C7,36,150094704016475858,Symbolic,False,completed
C7,37,450284043329950836,Symbolic,False,completed
C7,38,1350851992550899034,Symbolic,False,completed
C7,39,4052555702774790156,Symbolic,False,completed
C7,40,12157666558568556578,Symbolic,False,completed
C7,41,36472998576194041956,Symbolic,False,completed
C7,42,109418993529558870314,Symbolic,False,completed
C7,43,328256976190630099836,Symbolic,False,completed
C7,44,984770919775797277298,Symbolic,False,completed
C7,45,2954312741735205787476,Symbolic,False,completed
C7,46,8862938190021245273594,Symbolic,False,completed
C7,47,26588814499694991643116,Symbolic,False,completed
C7,48,79766443358347486574018,Symbolic,False,completed
C7,49,239299329793567483011396,Symbolic,False,completed
C8,0,1,Symbolic,False,completed
C8,1,3,Symbolic,False,completed
C8,2,5,Symbolic,False,completed
C8,3,7,Symbolic,False,completed
C8,4,9,Symbolic,False,completed
C8,5,11,Symbolic,False,completed
C8,6,13,Symbolic,False,completed
C8,7,15,Symbolic,False,completed
C8,8,17,Symbolic,False,completed
C8,9,19,Symbolic,False,completed
C8,10,21,Symbolic,False,completed
C8,11,23,Symbolic,False,completed
C8,12,25,Symbolic,False,completed
C8,13,27,Symbolic,False,completed
C8,14,29,Symbolic,False,completed
C8,15,31,Symbolic,False,completed
C8,16,33,Symbolic,False,completed
C8,17,35,Symbolic,False,completed
C8,18,37,Symbolic,False,completed
C8,19,39,Symbolic,False,completed
C8,20,41,Symbolic,False,completed
C8,21,43,Symbolic,False,completed
C8,22,45,Symbolic,False,completed
C8,23,47,Symbolic,False,completed
C8,24,49,Symbolic,False,completed
C8,25,51,Symbolic,False,completed
C8,26,53,Symbolic,False,completed
C8,27,55,Symbolic,False,completed
C8,28,57,Symbolic,False,completed
C8,29,59,Symbolic,False,completed
C8,30,61,Symbolic,False,completed
C8,31,63,Symbolic,False,completed
C8,32,65,Symbolic,False,completed
C8,33,67,Symbolic,False,completed
C8,34,69,Symbolic,False,completed
C8,35,71,Symbolic,False,completed
C8,36,73,Symbolic,False,completed
C8,37,75,Symbolic,False,completed
C8,38,77,Symbolic,False,completed
C8,39,79,Symbolic,False,completed
C8,40,81,Symbolic,False,completed
C8,41,83,Symbolic,False,completed
C8,42,85,Symbolic,False,completed
C8,43,87,Symbolic,False,completed
C8,44,89,Symbolic,False,completed
C8,45,91,Symbolic,False,completed
C8,46,93,Symbolic,False,completed
C8,47,95,Symbolic,False,completed
C8,48,97,Symbolic,False,completed
C8,49,99,Symbolic,False,completed
C9,0,0,Symbolic,False,completed
C9,1,1,Symbolic,False,completed
C9,2,5,Symbolic,False,completed
C9,3,14,Symbolic,False,completed
C9,4,30,Symbolic,False,completed
C9,5,55,Symbolic,False,completed
C9,6,91,Symbolic,False,completed
C9,7,140,Symbolic,False,completed
C9,8,204,Symbolic,False,completed
C9,9,285,Symbolic,False,completed
C9,10,385,Symbolic,False,completed
C9,11,506,Symbolic,False,completed
C9,12,650,Symbolic,False,completed
C9,13,819,Symbolic,False,completed
C9,14,1015,Symbolic,False,completed
C9,15,1240,Symbolic,False,completed
C9,16,1496,Symbolic,False,completed
C9,17,1785,Symbolic,False,completed
C9,18,2109,Symbolic,False,completed
C9,19,2470,Symbolic,False,completed
C9,20,2870,Symbolic,False,completed
C9,21,3311,Symbolic,False,completed
C9,22,3795,Symbolic,False,completed
C9,23,4324,Symbolic,False,completed
C9,24,4900,Symbolic,False,completed
C9,25,5525,Symbolic,False,completed
C9,26,6201,Symbolic,False,completed
C9,27,6930,Symbolic,False,completed
C9,28,7714,Symbolic,False,completed
C9,29,8555,Symbolic,False,completed
C9,30,9455,Symbolic,False,completed
C9,31,10416,Symbolic,False,completed
C9,32,11440,Symbolic,False,completed
C9,33,12529,Symbolic,False,completed
C9,34,13685,Symbolic,False,completed
C9,35,14910,Symbolic,False,completed
C9,36,16206,Symbolic,False,completed
C9,37,17575,Symbolic,False,completed
C9,38,19019,Symbolic,False,completed
C9,39,20540,Symbolic,False,completed
C9,40,22140,Symbolic,False,completed
C9,41,23821,Symbolic,False,completed
C9,42,25585,Symbolic,False,completed
C9,43,27434,Symbolic,False,completed
C9,44,29370,Symbolic,False,completed
C9,45,31395,Symbolic,False,completed
C9,46,33511,Symbolic,False,completed
C9,47,35720,Symbolic,False,completed
C9,48,38024,Symbolic,False,completed
C9,49,40425,Symbolic,False,completed
C10,0,1,Symbolic,False,completed
C10,1,2,Symbolic,False,completed
C10,2,4,Symbolic,False,completed
C10,3,7,Symbolic,False,completed
C10,4,11,Symbolic,False,completed
C10,5,16,Symbolic,False,completed
C10,6,22,Symbolic,False,completed
C10,7,29,Symbolic,False,completed
C10,8,37,Symbolic,False,completed
C10,9,46,Symbolic,False,completed
C10,10,56,Symbolic,False,completed
C10,11,67,Symbolic,False,completed
C10,12,79,Symbolic,False,completed
C10,13,92,Symbolic,False,completed
C10,14,106,Symbolic,False,completed
C10,15,121,Symbolic,False,completed
C10,16,137,Symbolic,False,completed
C10,17,154,Symbolic,False,completed
C10,18,172,Symbolic,False,completed
C10,19,191,Symbolic,False,completed
C10,20,211,Symbolic,False,completed
C10,21,232,Symbolic,False,completed
C10,22,254,Symbolic,False,completed
C10,23,277,Symbolic,False,completed
C10,24,301,Symbolic,False,completed
C10,25,326,Symbolic,False,completed
C10,26,352,Symbolic,False,completed
C10,27,379,Symbolic,False,completed
C10,28,407,Symbolic,False,completed
C10,29,436,Symbolic,False,completed
C10,30,466,Symbolic,False,completed
C10,31,497,Symbolic,False,completed
C10,32,529,Symbolic,False,completed
C10,33,562,Symbolic,False,completed
C10,34,596,Symbolic,False,completed
C10,35,631,Symbolic,False,completed
C10,36,667,Symbolic,False,completed
C10,37,704,Symbolic,False,completed
C10,38,742,Symbolic,False,completed
C10,39,781,Symbolic,False,completed
C10,40,821,Symbolic,False,completed
C10,41,862,Symbolic,False,completed
C10,42,904,Symbolic,False,completed
C10,43,947,Symbolic,False,completed
C10,44,991,Symbolic,False,completed
C10,45,1036,Symbolic,False,completed
C10,46,1082,Symbolic,False,completed
C10,47,1129,Symbolic,False,completed
C10,48,1177,Symbolic,False,completed
C10,49,1226,Symbolic,False,completed
C11,0,1,Fallback,False,completed
C11,1,1,Fallback,False,completed
C11,2,2,Fallback,False,completed
C11,3,6,Fallback,False,completed
C11,4,24,Fallback,False,completed
C11,5,120,Fallback,False,completed
C11,6,720,Fallback,False,completed
C11,7,5040,Fallback,False,completed
C11,8,40320,Fallback,False,completed
C11,9,362880,Fallback,False,completed
C11,10,3628800,Fallback,False,completed
C11,11,39916800,Fallback,False,completed
C11,12,479001600,Fallback,False,completed
C11,13,6227020800,Fallback,False,completed
C11,14,87178291200,Fallback,False,completed
C11,15,1307674368000,Fallback,False,completed
C11,16,20922789888000,Fallback,False,completed
C11,17,355687428096000,Fallback,False,completed
C11,18,6402373705728000,Fallback,False,completed
C11,19,121645100408832000,Fallback,False,completed
C11,20,2432902008176640000,Fallback,False,completed
C11,21,51090942171709440000,Fallback,False,completed
C11,22,1124000727777607680000,Fallback,False,completed
C11,23,25852016738884976640000,Fallback,False,completed
C11,24,620448401733239439360000,Fallback,False,completed
C11,25,15511210043330985984000000,Fallback,False,completed
C11,26,403291461126605635584000000,Fallback,False,completed
C11,27,10888869450418352160768000000,Fallback,False,completed
C11,28,304888344611713860501504000000,Fallback,False,completed
C11,29,8841761993739701954543616000000,Fallback,False,completed
C11,30,265252859812191058636308480000000,Fallback,False,completed
C11,31,8222838654177922817725562880000000,Fallback,False,completed
C11,32,263130836933693530167218012160000000,Fallback,False,completed
C11,33,8683317618811886495518194401280000000,Fallback,False,completed
C11,34,295232799039604140847618609643520000000,Fallback,False,completed
C11,35,10333147966386144929666651337523200000000,Fallback,False,completed
C11,36,371993326789901217467999448150835200000000,Fallback,False,completed
C11,37,13763753091226345046315979581580902400000000,Fallback,False,completed
C11,38,523022617466601111760007224100074291200000000,Fallback,False,completed
C11,39,20397882081197443358640281739902897356800000000,Fallback,False,completed
C11,40,815915283247897734345611269596115894272000000000,Fallback,False,completed
C11,41,33452526613163807108170062053440751665152000000000,Fallback,False,completed
C11,42,1405006117752879898543142606244511569936384000000000,Fallback,False,completed
C11,43,60415263063373835637355132068513997507264512000000000,Fallback,False,completed
C11,44,2658271574788448768043625811014615890319638528000000000,Fallback,False,completed
C11,45,119622220865480194561963161495657715064383733760000000000,Fallback,False,completed
C11,46,5502622159812088949850305428800254892961651752960000000000,Fallback,False,completed
C11,47,258623241511168180642964355153611979969197632389120000000000,Fallback,False,completed
C11,48,12413915592536072670862289047373375038521486354677760000000000,Fallback,False,completed
C11,49,608281864034267560872252163321295376887552831379210240000000000,Fallback,False,completed
C12,1,7,Fallback,False,completed
C12,2,8,Fallback,False,completed
C12,3,9,Fallback,False,completed
C12,4,10,Fallback,False,completed
C12,5,15,Fallback,False,completed
C12,6,18,Fallback,False,completed
C12,7,19,Fallback,False,completed
C12,8,20,Fallback,False,completed
C12,9,21,Fallback,False,completed
C12,10,22,Fallback,False,completed
C12,11,33,Fallback,False,completed
C12,12,36,Fallback,False,completed
C12,13,37,Fallback,False,completed
C12,14,38,Fallback,False,completed
C12,15,39,Fallback,False,completed
C12,16,40,Fallback,False,completed
C12,17,41,Fallback,False,completed
C12,18,42,Fallback,False,completed
C12,19,43,Fallback,False,completed
C12,20,44,Fallback,False,completed
C12,21,45,Fallback,False,completed
C12,22,46,Fallback,False,completed
C12,23,69,Fallback,False,completed
C12,24,72,Fallback,False,completed
C12,25,73,Fallback,False,completed
C12,26,74,Fallback,False,completed
C12,27,75,Fallback,False,completed
C12,28,76,Fallback,False,completed
C12,29,77,Fallback,False,completed
C12,30,78,Fallback,False,completed
C12,31,79,Fallback,False,completed
C12,32,80,Fallback,False,completed
C12,33,81,Fallback,False,completed
C12,34,82,Fallback,False,completed
C12,35,83,Fallback,False,completed
C12,36,84,Fallback,False,completed
C12,37,85,Fallback,False,completed
C12,38,86,Fallback,False,completed
C12,39,87,Fallback,False,completed
C12,40,88,Fallback,False,completed
C12,41,89,Fallback,False,completed
C12,42,90,Fallback,False,completed
C12,43,91,Fallback,False,completed
C12,44,92,Fallback,False,completed
C12,45,93,Fallback,False,completed
C12,46,94,Fallback,False,completed
C12,47,141,Fallback,False,completed
C12,48,144,Fallback,False,completed
C12,49,145,Fallback,False,completed
C12,50,150,Fallback,False,completed
C13,0,1,Fallback,True,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C13,1,2,Fallback,True,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C13,2,5,Fallback,True,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C13,3,26,Fallback,True,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C13,4,677,Fallback,True,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C13,5,458330,Fallback,True,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C13,6,210066388901,Fallback,True,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C13,7,44127887745906175987802,Fallback,True,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C13,8,1947270476915296449559703445493848930452791205,Fallback,True,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C13,9,3791862310265926082868235028027893277370233152247388584761734150717768254410341175325352026,Fallback,True,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C13,10,14378219780015246281818710879551167697596193767663736497089725524386087657390556152293078723153293423353330879856663164406809615688082297859526620035327291442156498380795040822304677,Fallback,True,stopped: |a_n| exceeded 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C14,0,0,Fallback,False,completed
C14,1,2,Fallback,False,completed
C14,2,4,Fallback,False,completed
C14,3,1,Fallback,False,completed
C14,4,3,Fallback,False,completed
C14,5,0,Fallback,False,completed
C14,6,2,Fallback,False,completed
C14,7,4,Fallback,False,completed
C14,8,1,Fallback,False,completed
C14,9,3,Fallback,False,completed
C14,10,0,Fallback,False,completed
C14,11,2,Fallback,False,completed
C14,12,4,Fallback,False,completed
C14,13,1,Fallback,False,completed
C14,14,3,Fallback,False,completed
C14,15,0,Fallback,False,completed
C14,16,2,Fallback,False,completed
C14,17,4,Fallback,False,completed
C14,18,1,Fallback,False,completed
C14,19,3,Fallback,False,completed
C14,20,0,Fallback,False,completed
C14,21,2,Fallback,False,completed
C14,22,4,Fallback,False,completed
C14,23,1,Fallback,False,completed
C14,24,3,Fallback,False,completed
C14,25,0,Fallback,False,completed
C14,26,2,Fallback,False,completed
C14,27,4,Fallback,False,completed
C14,28,1,Fallback,False,completed
C14,29,3,Fallback,False,completed
C14,30,0,Fallback,False,completed
C14,31,2,Fallback,False,completed
C14,32,4,Fallback,False,completed
C14,33,1,Fallback,False,completed
C14,34,3,Fallback,False,completed
C14,35,0,Fallback,False,completed
C14,36,2,Fallback,False,completed
C14,37,4,Fallback,False,completed
C14,38,1,Fallback,False,completed
C14,39,3,Fallback,False,completed
C14,40,0,Fallback,False,completed
C14,41,2,Fallback,False,completed
C14,42,4,Fallback,False,completed
C14,43,1,Fallback,False,completed
C14,44,3,Fallback,False,completed
C14,45,0,Fallback,False,completed
C14,46,2,Fallback,False,completed
C14,47,4,Fallback,False,completed
C14,48,1,Fallback,False,completed
C14,49,3,Fallback,False,completed
